Something	601-030116-MW_(Rat230_2).CEL	602-030116-MW_(Rat230_2).CEL	603-030116-MW_(Rat230_2).CEL	605-030116-MW_(Rat230_2).CEL	607-030116-MW_(Rat230_2).CEL	608-030116-MW_(Rat230_2).CEL	609-030116-MW_(Rat230_2).CEL	610-030116-MW_(Rat230_2).CEL	612-030116-MW_(Rat230_2).CEL	613-030116-MW_(Rat230_2).CEL	614-030116-MW_(Rat230_2).CEL	615-030116-MW_(Rat230_2).CEL	616-030116-MW_(Rat230_2).CEL	618-030116-MW_(Rat230_2).CEL	619-030116-MW_(Rat230_2).CEL	620-030116-MW_(Rat230_2).CEL	621-030116-MW_(Rat230_2).CEL	622-030116-MW_(Rat230_2).CEL	623-030116-MW_(Rat230_2).CEL	625-030116-MW_(Rat230_2).CEL	627-030116-MW_(Rat230_2).CEL	628-030116-MW_(Rat230_2).CEL	629-030116-MW_(Rat230_2).CEL	630-030116-MW_(Rat230_2).CEL	631-030116-MW_(Rat230_2).CEL	632-030116-MW_(Rat230_2).CEL	633-030116-MW_(Rat230_2).CEL	635-030116-MW_(Rat230_2).CEL	636-030116-MW_(Rat230_2).CEL
1398810_at	10.036802	10.079899	9.984932	10.03207	10.040329	10.134304	10.038471	10.096273	10.123642	9.931026	10.082733	10.017359	10.168032	10.127211	9.995232	10.204071	10.001873	10.054029	9.964083	10.070789	9.967852	9.90004	9.995777	10.00765	9.98596	10.047375	10.121037	9.935356	9.939934
1398811_at	8.96415	9.109122	8.874797	8.956044	9.086513	8.974939	9.037109	8.9045315	9.062897	8.972375	9.025237	8.967363	9.073048	9.120196	9.109778	9.193695	8.948996	8.978281	9.008018	9.111686	8.971527	9.0983515	9.055779	8.990352	9.016582	8.98942	9.070326	9.076076	9.058667
1398812_at	11.56757	11.683893	11.500784	11.509396	11.709826	11.505047	11.54077	11.547808	11.596983	11.49662	11.529749	11.571844	11.653343	11.63381	11.472708	11.819073	11.530001	11.44621	11.599393	11.715088	11.583171	11.495514	11.508726	11.603138	11.511801	11.422901	11.789309	11.463884	11.626803
1398813_at	8.914354	9.099546	8.863478	8.899187	9.036051	8.968143	8.910542	8.916273	9.065895	8.851288	8.918694	8.900108	8.890736	8.9735985	8.959908	9.017605	8.880724	8.80455	8.983654	9.042549	8.874176	8.888588	8.918362	8.958815	8.874239	8.941456	8.946583	8.986133	8.951744
1398814_at	10.656526	10.691277	10.652712	10.646772	10.703096	10.641156	10.595839	10.751785	10.728931	10.645203	10.576071	10.561535	10.781665	10.677494	10.6644535	10.803275	10.640056	10.6989975	10.780086	10.61194	10.726705	10.773635	10.722118	10.6640835	10.625748	10.713439	10.725187	10.689705	10.73967
1398815_at	8.83653	8.918426	9.020543	9.031593	8.882446	9.275877	9.08217	9.234429	9.07873	9.090793	9.330393	8.990497	9.019974	9.121083	9.229752	9.11427	9.216125	9.320909	8.878505	9.032534	9.345623	9.154796	9.317924	9.14427	9.2518635	9.204438	9.1474085	8.901796	9.2639475
1398816_at	3.1215937	3.083919	3.449298	3.3014657	3.3796923	3.3403463	3.215912	3.3579457	2.9124017	3.4924028	3.0611265	3.5294287	3.5075455	3.7401369	3.4090042	3.1359725	3.4448225	3.4098742	3.2655787	3.316932	3.4873486	3.1377056	3.622786	3.4810567	3.376759	3.305651	3.4120593	3.2646587	3.5706623
1398817_at	10.158387	10.460964	10.417326	10.400302	10.394291	10.396336	10.45528	10.381169	10.364169	10.484721	10.452791	10.396261	10.4644985	10.502518	10.432422	10.547646	10.420733	10.673023	10.360287	10.413543	10.388154	10.317069	10.507847	10.358764	10.416903	10.419732	10.42584	10.195743	10.549251
1398818_at	5.0393863	5.2964764	5.178377	5.061825	5.0043216	5.042746	5.162249	5.1084805	4.733484	5.1214695	5.0003777	5.0703025	5.3469596	5.008789	4.6717815	5.2334604	5.1875916	5.0546765	5.068876	5.195376	5.260109	4.761301	5.123814	5.0570626	5.094147	4.9721346	5.094437	4.789556	5.039395
1398819_at	11.112724	11.187744	11.203492	11.259354	11.268278	11.201944	11.211107	11.284698	11.262964	11.237777	11.297133	11.292163	11.142616	11.3304205	11.24015	11.25698	11.299551	11.354983	11.140621	11.052986	11.115531	11.267189	11.186135	11.138541	11.151977	11.240869	11.178714	11.125608	11.280035
