Something	030816-MW-502_(Rat230_2).CEL	030816-MW-504_(Rat230_2).CEL	030816-MW-506_(Rat230_2).CEL	031516-MW-503_(Rat230_2).CEL	030816-MW-520_(Rat230_2).CEL	030816-MW-508_(Rat230_2).CEL	030816-MW-510_(Rat230_2).CEL	030816-MW-511_(Rat230_2).CEL	031516-MW-509_(Rat230_2).CEL	030816-MW-513_(Rat230_2).CEL	030816-MW-514_(Rat230_2).CEL	030816-MW-515_(Rat230_2).CEL	030816-MW-516_(Rat230_2).CEL	031516-MW-517_(Rat230_2).CEL	030816-MW-526_(Rat230_2).CEL	030816-MW-521_(Rat230_2).CEL	030816-MW-522_(Rat230_2).CEL	030816-MW-523_(Rat230_2).CEL	031516-MW-519_(Rat230_2).CEL	030816-MW-531_(Rat230_2).CEL	030816-MW-528_(Rat230_2).CEL	030816-MW-529_(Rat230_2).CEL	031516-MW-527_(Rat230_2)_2.CEL	031516-MW-530_(Rat230_2).CEL	030816-MW-532_(Rat230_2).CEL	030816-MW-534_(Rat230_2).CEL	031516-MW-535_(Rat230_2).CEL	031516-MW-536_(Rat230_2).CEL	030816-MW-507_(Rat230_2).CEL
1398276_at	4.3967285	4.133209	4.129011	4.362212	4.073536	4.24506	4.2655363	4.2004957	4.255374	3.997249	4.324005	4.171454	4.3284545	4.751178	4.263836	4.213334	4.224313	4.165326	4.2325854	4.2254343	4.130208	4.4228144	4.351781	4.3164835	4.1813965	4.098859	4.1880956	4.25471	4.4243474
1398277_at	5.502244	5.9791036	5.5866413	5.610778	5.263159	5.399844	5.465658	5.8981752	5.1245327	5.30894	5.284524	5.5071926	5.6494837	5.453252	5.5709734	5.532813	5.3544426	5.4671574	5.794211	5.4285297	5.290185	5.2802258	5.485858	4.828431	5.4098206	5.1421127	5.7193766	5.5465364	5.4425697
1398278_at	2.7420764	2.964681	2.8739698	3.0038176	2.8720443	2.9956853	2.7169	2.5236747	2.6904562	2.7489805	2.935049	2.7081778	2.8703258	2.954107	2.5820205	2.6288047	2.6639369	2.4561975	3.0467978	2.7522328	2.7344515	2.5994384	2.797934	3.064275	2.5544512	2.8129046	2.8312614	2.9444454	2.9247837
1398279_at	5.605465	5.474703	5.6488247	5.5379696	5.518852	5.401272	5.5919833	5.5724072	5.876257	5.6621423	5.342836	5.561851	5.5175996	5.306982	5.7756767	5.4010124	5.5687003	5.711803	5.5095057	5.740425	5.4203033	5.709486	5.2878323	5.3525443	5.686562	5.673289	5.3932137	5.85337	5.321722
1398280_at	2.8066828	2.8418283	3.1815221	3.1387806	2.7090225	2.8616433	2.9157293	2.9269218	2.9962797	3.0159628	2.755673	2.8942382	2.973082	2.9538212	2.930722	2.9539676	2.9492989	2.8548088	2.9836905	2.858808	2.9950147	2.8053203	3.2545855	2.8900144	3.0958288	2.845689	3.043644	3.0017736	3.0613008
1398281_at	6.788851	7.0787344	6.6676826	6.7628202	6.8031645	6.982274	7.2659125	6.601213	6.5437326	6.605326	6.813534	6.8132377	6.898679	6.8905888	6.8439093	6.622678	6.817564	7.1336665	7.0038667	7.355214	6.966388	6.7286644	7.1223307	6.8331423	6.8643904	7.0110674	6.9167156	6.645402	6.807018
1398282_at	11.931668	11.802346	11.72752	11.8705635	11.782786	11.806334	11.894711	11.868472	11.835716	11.69144	11.916166	11.790455	11.718522	11.869331	11.784615	11.869486	11.899927	11.903837	11.871563	11.809714	11.781242	11.781885	11.6590395	11.680957	11.751089	11.680505	11.687545	11.710448	11.954958
1398283_at	3.6391165	3.5228477	3.547494	3.2479672	3.6271138	3.4596007	3.5137582	3.5801072	3.6821089	3.5668125	3.3928325	3.9258778	3.8856013	3.5749707	3.5401056	3.5179071	3.784001	3.5235434	3.6931813	3.264837	3.5768316	3.6091354	3.7482345	3.6948035	3.7263508	3.5824335	3.685884	3.4023304	3.5470843
1398284_at	3.247184	3.3470702	3.1292174	3.0303488	3.153596	3.2636738	3.1869762	3.180421	3.2334158	2.9129946	3.1649399	3.101232	3.098091	3.0623572	2.9358041	3.0828025	3.2210238	3.3887825	3.229945	3.244021	2.8100796	3.0272074	3.0232053	3.4192417	3.216947	3.176735	3.3100152	3.080283	3.3030598
1398285_at	5.086397	4.911412	4.8794775	4.5289993	4.7101	5.030483	4.719239	5.07263	4.5339584	4.2791224	5.231201	4.9017878	4.9897847	4.494958	4.498835	4.4722357	5.2274485	4.903166	4.536298	5.079309	5.205776	4.381261	5.4926834	4.458399	4.829529	4.6194735	4.562418	4.7618017	4.9421186
1398286_at	11.337076	11.440102	11.157808	11.102482	11.410259	11.185323	11.25922	11.354502	11.124748	11.117285	11.314129	10.714476	11.188988	11.390785	11.270117	11.209785	11.227731	11.48484	10.918722	11.107274	11.074091	11.018351	11.365555	11.008543	11.162798	11.238976	11.338462	11.015921	11.181559
1398287_at	5.7462354	5.7649035	5.9491	5.830098	5.8878136	5.7952423	5.9799395	5.9312096	5.370209	5.4772577	5.734474	5.3795123	5.716546	5.47588	5.9892564	5.5817637	5.812313	6.0180273	5.797134	6.2031674	5.5296626	5.5984435	5.807483	5.4767866	5.430416	5.543558	5.455565	5.389261	5.793527
1398288_at	3.020972	3.0853257	3.2469156	3.3226488	3.1280394	3.0719616	2.9309356	3.399094	3.0731144	3.2318654	3.061355	2.956598	3.224502	3.286613	3.1109157	3.1996336	3.1618114	3.183812	3.3473966	2.9660492	3.0755296	3.1482286	3.03817	3.228712	2.8993428	3.1176918	3.101615	3.2004502	3.2621896
1398289_a_at	3.2119322	3.1455936	3.3743904	3.4967	3.4983437	3.2938025	3.3733003	3.6016319	3.4620376	3.3504913	3.6654215	3.500516	3.307026	3.593502	3.472792	3.2303877	3.67378	3.6112978	3.6453676	3.386284	3.2549624	3.2105715	3.3807957	3.189434	3.531181	3.5587647	3.123589	3.4930942	3.6031914
1398290_at	4.8281107	4.833699	4.952157	4.953968	4.885825	4.860696	4.9246607	5.025777	4.8745594	5.111929	4.843151	4.5224676	4.959037	5.3070555	4.909046	4.9460897	4.8783865	4.8749204	4.6756887	4.64476	4.922578	4.6446486	4.8667955	5.0576487	4.9489822	4.896206	4.875046	4.7637234	4.637244
